Reviews,Rating
i purchased my phone on end of march beginning of april when i purchased my phone it states on the link that it had us warranty for  year what type of warranty is this im not asking for a return i want an exchange i love my phone even my family we have two other ones they do not have any problems my is not over heating i have put people on speakers in other to hear them i even purchased a bluetooth because vendor does not want to exchange since i had this for more then  months now have problems with the bluetooth too is not working also it get problems that have sometimes problem with the screen that says number and states rebutting what is type of warranty does my cell has i have warranty for  year we will never purchase any from amazon alphatrust any more since this vendor is not trusted if it has warranty why it does not get solve my phone is defective i took good care of it i bought an screen protector and phone case and even a bluetooth and now i will have to get a new a new one since the warranty that they alphatrust said it has  is not true i think i got a refurbished phone when i pay for a new one alphatrust can not be trust they do not fallow this  year warranty us they do not even reply to emails,negative
it all the sudden stopped working out of no where i have had the phone for only  weeks i am very disappointed ,negative
the phone screen stopped working in  days very bad buy the return is only  days do not buy this phone zero stars  all i ever buy are blu but this one is no good,negative
i bought the htc evo g white phone well got the phone and it was black went to charge it and it would not charge so figured it was the battery got a brand new battery and still want charge i know it has  it is not my phone charger so i am returning this item asap not good would not recommend this to anyone,negative
poor battery life it is ridiculous to go from  to  in  minutes using waze or google maps charger wont charge correctly and gps has trouble working i dont know yet how to react to this because i have a plane leaving to vermont on the th of december where should i make the product return,negative
buy the phone on  december and to this day it works and no screen run out screen who is responsible for that if the phone is new less than five months,negative
returned it iphone s is too small for it slides around in case does not feel secure,negative
this phone is like a sample product of samsung first its hard to pair on any bluetooth enable device and if you pair it keep disconnecting second the g this phone g will not work on some are that has a g i can prove it because i have another g phone that has signal but this only g so please do not make the same mistake that i made,negative
internet not working at available placei have to use always data plan  pay more bill internet only work in homei have samsung galaxy s  work internet mostly palace without data plan usei hate this phonesend me open boxlike returned item please make sure before u bye this site,negative
this phone only lasted me for  months battery never lasted more than hrs i had to carry my charger every where i go finally it would just freez in the middle of a call im very disappointed this is waste of money,negative
i bought this phone from amazon twice the first ones screen cracked when i put a case on it and i was able to return that one the one that i replaced it with worked for  months and then just stopped working completely i set it on my counter and when i came back an hour later it had turned off and was not working or charging now it is outside of the return policy and i am stuck with a phone that does not work complete waste of money and time,negative
this phone is listed as unlocked but it is not and i cannot use it,negative
i bought one it works only one and have month then the mic does not work  i went to apple store they told me it out of guaranty it sold from apple since  so i just loss my money,negative
phones battery dies randomly and has to be charged multiple times daily i think i was sold a defective phone,negative
when i buy the cellphone i bought as new condition and it was not when i received the battery did not work i had to buy a new after that the battery charger dint work too and finally i had to buy a newi do not like the product but i do not have more money to buy a new one i am sad with that situation because i use amazon for the security in his produts it is the socond time taht it happens,negative
this phone is horrible do not buy it it has connectivity issues anywhere ranging from your signal to the bluetooth not working,negative
i get my phone this week and people cannot hear me when i make a call this is because the microphone inside it has  it is damaged i spent  to repair it because im outside the states and cannot return the phone big fail,negative
only had phone for  months and battery has went out already and cannot find a replacement thanks alot,negative
please do not buy this phone waste of time and money i was so excited to get this hone but was very disappointed after receiving it the phone looks really cool but it has all chinese software and came with default language as chinese after struggling so much i figured out and changed the language to english but still the app store shows stuffs in chinese i am returning this phone ,negative
i dislike leaving negative reviews but i have barely been using this phone a month and it is dead does not sound like there is any remediation outside of the  day return window there is an lg warranty but not surprisingly they have stupid requirements to initiate the repair i have to provide the imei number which i can only get if my phone works will update later if i can get any assistance,negative
received phone in days was very excited opened box put in a t  t sims card volume good with callsbut cannot download any apps from play store always saying time out works very slow thinking about returning phone   no fun if cannot download music and games bah humbug ,negative
italian version supposed to be fully unlocked,negative
i just got my phone today and it keeps freezing i have to lock it than unlock it so it will act right im so upset and i waited for this phone for so long just hope i do not have to pay to get another one,negative
i ordered this on the fourth of august and it just came in the today august th when i opened it everything seemed ok other than a few cosmetic blemishes but then i pick it up and there has  there is a part loose in the phone i shake it and you can here it floating around everything seems to be working only now any time i move the phone it i hear a rattle i was not pleased at all it has  it is not worth sending back cause i need the phone right now but i definitely do not encourage anyone to buy from here i will not be purchasing anything else,negative
this phone freezes and closes out while using the browser and other apps this is a waste if time and money,negative
appears to be a fairly decent phone considering the price to performance ratio when first powering on and swiping to unlock to the home screen everything worked fine i then proceeded to remove a few of the factory set home screen icons and the analog clock plus install a few apps such as zedge  wifi file transfer all went well until i powered down and back up now when i power up and swipe to unlock to the home screen i get the  unfortunately launcher has stopped  prompt and have to hit the ok tab to continue on to the home screen i have gone in and cleared the launcher app cache and the only way to resolve the issue is to also clear the data in the factory installed launcher app but that returns the home screen back to the original factory setup dont know if installing a new separate launcher from the playstore and assigning it as the default launcher will fix this issue if not i will return this phone due to the software glitches associated with the kitkat version i assume in this specific phone that is causing the problem plus i have an old school flip phone on the same tmobile plan as this new phone and it gets better signal strength then the posh titan side x side in the exact same location the titan has also on power up gone into the loop testing mode several times so far requiring me to remove the battery the phone is definitely going back as i obviously got a lemon total waste of my time  money,negative
the phone was purchased  november  the screen failed in august  contacted the supplier mobiles international who stated this phone does not have a warranty we replace all defective units within  days from the date of delivery if you purchased a warranty from an external source such as cps squaretrade or geeksquad please reach out to themcontacted samsung in the usa who noted the phone is international and not supported in the usa by samsungso be aware there is only a  warranty on this phone,negative
delivered with screen problems and charger that does not work,negative
this watch was suppose to be black on black and it was silver not very happy,negative
i bought a new article the articles descrpticion is new and the item is refurbished prices are differente when the item is new or refurbished i want my money back the money need to be refund i am waiting for you answer,negative
phone was locked still need code to unlock phone,negative
my phone is dead now never recommend any one to buy this dead phonebattery is horriblei hate this phone,negative
i purchased this for my grandaughters birthday and the day after i gave it to her it completely shot craps it will not even charge turn on or anything she said it acted like it was throwing sparks before it stopped i have sent it back to the company and still have not heard anything or received an email i would like to have the iphone replaced im starting to feel very cheated and dissapointed i can be reached by email at phuberoutlookcom or by phone at  i would appreciate some sort of response to this matter,negative
thought it was bigger and over heats,negative
love the idea but not a great product we always had to double check before my son left the house that it was sending and recieving calls properly sometimes it would work and other times it would not it also seems to use up minutes extrememly fast and only hold a charge for about a day when not in use it has  it is difficult to purchase more minutes on the sim with this device i would have to take out the sim and put it in a regular phone to add minutes unless my son talked directly into the watch it was difficult to understand what he was saying which makes the monitor feature useless the text codes that enable the phone to call back would take minutes to call back if at all we tried to use it for the last two months and finally just gave him one of our old phones to use,negative
i do not like it it is not functioning right,negative
not only did i have to wait a long time for the product it has already malfunctioned out of no where the screen stopped working  i really want my money back but luckily i can still talk on it at least,negative
 for  month usage of the device my lg g stopped working after being in a case for  months but i liked the physical layoutsw enough powervolume button layout  double tap screen to turn onoff to buy the lg g so i get the g and as soon as i get it the area near the power button was hot with the screen above  i keep the phone caseless to try to avoid the g experience and st drop screen cracks g took  falls before i even bought a case unfortunately im out of town for the month when it cracked  was unable to return the device so guess who has a very expensive brick this guy,negative
phone was in excellent shape unfortunately it had been reported as stolen and could not be activated so it was useless,negative
definitely the worst phone ive ever had lots of bugs and crashes last blu i had was amazing just not this one,negative
the phone i received was defective the wifi function of the phone did not work thankfully i had full insurance on my broken iphone that i was attempting to replace verizon covered the cost of this phone and provided me with a new one never again will i purchase a refurbished phone through amazon,negative
i cannot get on the internet or access my email thru tmobile seems like this cell phone is out dated,negative
this phone is locked gsm had to unlock it my self very bad description,negative
the phone has a few issueslike the it has  it is flashlight does not work and it only works in vibration even though it has  it is on sound,negative
i have had so many problems with the phone it loses its imei serial by itself i have spent so much money trying to fix itive had a lot of headaches i guess i lost my money buying this phone i have no idea how i can contact the seller to help me with that,negative
do not buynot unlocked why would amazon even put up with this,negative
this cellphone is cheap in price and quality i have to walk all over the place to get a connection or for the receiver to hear me if dropped sometimes battery falls out,negative
in less than  months the phone is useless the sound starting going out after just a few weeks then totally stopped working and then the power button broke so there was no way to turn my phone on the only way to get the phone to come on was if someone called in and i happen to notice the screen turn on since there was no sound only could use headphones to hear anything very shoddy phone and had to get yet another phone not from here never from here again ,negative
before i write this review some history i used this phone for over  year before this i owned a nokia n for  years a nokia  for  years and a nokia  before that needless to say i was a big time nokia fanboy i was really impressed by nokias innovation sturdiness of their phones and the ease of usability and sleek designs some might say that ofcourse changed after n i have one sentence that sums up this phone it does a lot of things but does not do anything well i will go over each of its major components and tell why there is a problem camera by far the best feature of this phone this is where nokia did well unlike other phone manufacturers they did not make a phone which also has a camera they made a phone  camera the lens is great and the resolution is great the quality of pictures and all the available options makes it as close to a real camera as possible however i compare it to the camera on n and i am less than satisfied the earlier camera was a lot more ergonomically stable and the lens cover was a lot nicer but im not going to complain too much about it still the quality of images i get are a little less satisfactory than n and it did not entirely replace my existing camera i give it an phone itself the phone interface is really weird who sets automatic landscape setting on the phone itself i go and try to answer a phone call and the bloody thing is trying to reset the orientation so i have to wait before the image comes back on the phone wtf and then there is the connectivity if for some reason i go out of network and then back in there are chances it wont connect for a while while my friend who has the exact same carrier as me is enjoying a conversation im still waiting for a bloody signal it is disappointing when the function like calling and receiving calls seamlessly should be the first thing the phone does i give it navigation a new feature which was installed after i bought the phone good except its not very good when working offline kinda sucks when you go out of network but some genius decided that a navigation software does not need a history what you mean i have to type the entire address everytime i add it what if for some reason i accidentally exit retype what if i go there everyday retype weird and there is no bell or anything like normal navigation systems to warn you to turn now silly music player first is the sync if you transfer music via the mass memory feature then you wont see the songs in your list but if you sync them via the media sync feature then you will i dont understand why there cannot be one simple way to transfer everything why do you have to keep changing the mode also if you push the back button on the song guess what it takes you back to the main phone screen hey i only wanted to go back to the album no sir you cannot do that at all gets really annoying especially if you are listening to music in the car touch and keyboard the responsiveness of the touch screen is average the touch keyboard is again a genius design why make the touch keyboard just like the old phones when you had to click on one key  times to type c is not that the point of the touch keyboard the thing appears on a screen why not have all the letters of the alphabet there every other manufacturer does it why are you the only idiots who do not and then you do not even give people the option why why why memory and operating system wow if there is anything that put the final nail on the coffin was this bit of the phone lets talk about the memory first nokia says the phone has gb memory to be fair that is true if you want to transfer your music pictures etc etc yes it has gb of memory what they however fail to mention is that there is something called a nand memory which is only mb what is this memory you ask why its only the place where the entire operating system and most critical apps sit things like maps push email sit here there is no way to transfer them to the mass memory as its called by nokia i wonder what the designers of this phone were thinking in this day and age of all these apps that go on to smart phones mb was going to be enough you run out of memory very quickly and then are left to try and figure out ways to free up memory it gets old really quickly and starts impacting your phone performance the operating system is just the worst thing ever dreamt up it has so many things wrong with it that i do not know where to begin first off finding any of the functions it does do is a full time job in itself on top of that it flashes a message every time you are out of network you cannot make it go away i have tried no imagine you are receiving a call since my carrier does not have that capability a message will flash while the call is coming in that data exchange is not possible i know just let me answer the phone nope it will flash that message for however long and then you can take your call combine that with the automatic landscape feature voila its almost a second before you are allowed to answer your phone call you are a bloody phone first let me get to my phone call and the features like weather and email widgets should not they connect to the internet and retrieve your emails automatically they do for the first  mins and then stop doing it if god forbid you get disconnected from network for some reason the connection aint coming back unless you start it manually genius oh yeah and the phone software crashes a lot requiring a restart almost every day ovi store when i bought this phone i knew it was not an iphone so i was not expecting the app store but it should still work right here is my experience i tried downloading an app and paid for it like a responsible consumer but there was an error while downloading guess what happened it could not find my app there was no way i could go back and redownload it because it was not there i tried contacting the ovi store there was no phone number listed so i emailed them it took them a week to get back to me and they were not able to understand my problem how hard is it to send me a link to enable me to redownload the app i am not trying to get it for free ive already paid for it my card was charged finally i get someone on the phone who tries to blame my network for it and sends me a download link which i have to use in the next  hours or it will disappear i used the same link over my network without any issues the problem was with ovi store its even a lame name to be honest there are a bunch of free apps too which are tried they are all bad other complaints i have ranted a lot here and i hope people read this and stay away from this phone frankly i am done for life with nokia products i read things about their new n phone and saw similar issues with it here are some more issues i encountered  my charging port broke now the only way the phone will charge is if i put it at a certain angle and connect it to my pc would not help if i were travelling now would it i think its past its warranty period so no point contacting anyone  the minisd card is just plain hard to use the card does not pop out all the way so you are left trying to pry the card using your finger nails praying it does not break anything all in all shows how bad the design is whatever was good about nokia was destroyed by this phone i paid  for this phone and i do not think its unreasonable at that price to expect that stuff works not only did it not but the things about nokia like sturdiness innovation design etc that i mentioned earlier are absent i am thru with nokia for good and want to warn everyone before buying a nokia as it seems they do not want to test their products anymore,negative
could not sync it to my phonezte z max,negative
i bought this a few months ago my girlfriend battery is horrible she has to restart the phone all the time has to relogin to apps frequently it has  it is a pretty messed up phone lots of disappointing aspects,negative
this phone was to be unlock but when i put my chip in phone it does not accept my chip and is sending me to verizon what am i suppose to do,negative
defective it did not last for more than  months and give me too many problems short warranty time  days of course,negative
bought this phone in may it quit in august i would not purchase another blu product,negative
this phone bricked in the middle of a phone call after  weeks of use i was reading the reviews prior to my purchase and i saw that this could happen but it seemed to have been worked out the phone was fine before it bricked if you do not get a defective model it should still be a decent phone for the price,negative
it stopped working just after  months of usethe phone was perfect the quality of its hardware very poorlg dissappointed,negative
not able to sync with my phone so therefore it does not work for meinexpensive so i guess i got what i paid for,negative
item is having scratches and lilltle damaged there is no earphones in the package received really dissappointed,negative
guys please if you do not know what to do with your money buy that phone you will have it used for  weeks only cause this is the first crap phone i ever have i purchased that phone for my birthday not it stop working i never dropped that phone and i never put it in the water cause i know it has  it is not a waterproof phone it was in charge one day when i took it to place a phone call the phone died i cannot do nothing with it i do not why this seller sold that phone in amazon to steel people money even though you got refund when you contact amazon and return the defective item but it has  it is not fair to purchase something and after  weeks you start having problem with it so i encourage everyone to not buy that phone if you smoke please stay smoking instead of buying that phone cause this one will take you feeling away while using that crap phonedo not tell me that the phone worth the price or it is a cheap phone you do not purchase something for the price but you purchase something for you to use in it suppose to be a good quality phone honestly i regret that i used my debit card on some s like that do not buy it im saying money is not easy to make you got to spend a lot hours in order to have  so you cannot throw it away like that a word to salvation,negative
i wish i could rate it less than one start the phone was white has bad scratches on it did not come with everything it said it would terrible,negative
not happy at all says unlocked and can use at att and that has  that is not true  no where in discription does it say the phone is verizon took to att and will not work so sending back,negative
the phone is now not working at all  the touch screen started by glitching  it has been in a lifeproof case since we got it and it now does not work at all  struggling to get this resolved,negative
all i can say you get what you pay for had the phone for little over a month music low display bad quality and its slow i dropped it and it cracked had a one year warranty on it and they told me the warranty does not support that lol really then why offer a one year warranty if our mistakes,negative
goodnight this product has been used and flaws i could not use it not grab signal does not work manually brought did not bring headphones,negative
do not buy this product will last the year of warranty and then will broke out of nowhere asus will not take care of the product,negative
i like the design and ease of use of this product i would recommend it to anyone who would like to have a porta potti on hand in case of emergencies camping trips or just any place where one might be needed we will be using ours in a small house that does not have a bathroom the house has a closet that will be large enough to make into a small bathroom we decided we did not want expensive indoor plumbing and a septic system the house does not have any water hook up or electric hook up we wanted to go off the grid with this home we built a base to sit the porta potti on fasten it to and raise it up a little it is a great product and i would recommend it to anyone also it will not be too heavy to handle when it requires empting great product,negative
verizon says this phone can not be used on their network the phone even says its carrier is verizon but verizon says the imei number can not be found in their network and they have failed to add it also phone appears to be in decent except the front speaker which is filled with ear crud gross,negative
verizon says this phone can not be used on their network the phone even says its carrier is verizon but verizon says the imei number can not be found in their network and they have failed to add it also phone appears to be in decent except the front speaker which is filled with ear crud gross,negative
this phone was not unlocked and i activated multiple sim cards trying to get it to work,negative
worst phone i ever used want to give it zero stars but amazon does not have that optionthe mic have a problem from day one battery drains so fast it has  it is totally garbage phone,negative
this was advertised as new took it to apple as the battery was depleted after  months they refused to work on it because the battery was third party as were many of the buttons and inner working this was not as advertised at all,negative
phone was damaged,negative
i am very disappointed with this product two days ago i came two phones to commission one for me and one for my mom is the worst business i have done because they are first tlf used all changed as new second tube to buy another battery because it brought was inflated and then buy another battery that will not turn finishes loading but never and devolverlo is another dream because to get my hands came in two months i hate to imagine if you never buy devuelve mas en i am very angry with amazon this canser sold to me and why not give them no stars very angry customer ,negative
not at all what i expected the shift is not nearly as good as the evo g im switching back,negative
i did not get a phone i opened the package and found clay,negative
worst phone i have ever owned i bought this on july and the phone stopped working this morning i should have realized it was horrible when it would not hold a charge and now it will not charge at all my phone is completely dead and use able now i have to buy a new phone because in my job i cannot be without a phone my customer and staff cannot get in touch with me do not buy this phone it has  it is junk,negative
arrived nonfunctional would not turn on returned it right away,negative
it sucks it do not work it has  it is seid compatible with straight talk it do not waiting on a return slip now so it can be returned,negative
i purchased a blu win hd lte via amazon in midjuly  i have had several problems in just a few months and now the unit will not boot up at allfrom the start the unit would no hold a charge longer than a few hours less than a month the unit began to reboot itself and would finial freeze with a solid screen with a  in the middle of the screenthe phone is totally unless now it will not even power upi have sent an email to blu service,negative
i bought iphones in  but yesterday my earphone was badi went to the apple store to repair earphonethey told me the earphone is not original earphonei find i can not find any word in the earphone about assembled in chinai think you sell me fake accessoriesi think this is a very serious problem,negative
wrong item,negative
there is something wrong with the iphone i got,negative
i am sad to write a bad review on this phone because there were many things i liked but what is most important to me is taking good pictures of my kids for this you cannot use the special camera feature that is designed to take better still life pictures for movement you have to keep the camera on regular there is no good way to change camera settings you cannot chose action photo nighttime etc you can choose flash on off or auto the flash doesnt work properly after having this happen to me i saw online it happens to others for pictures inside of my fast moving kids i need to use a flash or the picture is blurry with this phone the flash goes off then turns off prior to the phone actually snapping the picture i tested with and without flash and the picture is brighter without the flash i tried for a few weeks and sadly the final result was just losing out of some great pictures of my young children the other other negative for me for this camera which may be with any camera is by the end of the day the battery would go out i did not use it that much during the day but i also am not on wifi during the day i had hoped the battery would last a full ampm day with intermittent use otherwise i did really like the phone but having to send it back it gets only a  star,negative
i hate to say but it is by far the worst phone i ever had,negative
three weekend after i purchased the phone it could detect the sim card but was unable to read it i took it to the technician and he told me the phone was locked,negative
you sent me a  battery with phone and it takes a  battery it doesent work very good  i paid for the right things and was not given the right battery with phone  very unhappy ,negative
the phone is not actually waterproof the back panel only lightly clips into place and not tight enough to keep water out after  weeks of using this phone the screen goes black and wont come back on this is a cheap phone made of cheap parts not to mention this thing is extremely slow oh well do not waste your money,negative
terrible even for the price the phone would download japanese apps all on it has  it is own would reinstall apps that were uninstalled headphone jack stopped working after only a day spend the extra money to get a decent phone,negative
i normally do not wright reviews but this watch compelled me to first the instructions were difficult to navigate through we had to download a few apps to get this unit started then nothing from my husbands phone transfered over and even after we sync the watch it still has not preformed any of the listed features other than telling time also the menu is very basic like stick figure drawing type of basic good thing about this watchit tells the time date and has a small image of the sun not sure what that means since its night time so i paid  for a watch the looks smart,negative
dont buy from amazon if you plan on trasferring some other phone number to this new phone and service mailinrebate is voided it is so weired they make money anyway,negative
the phone is great but unfortunately the quality of equipment is very low the phone began to present faults off a week ago and the present day stopped working the phone was sold by amazon at that time gave no guarantee regret spent   on a phone that only worked  months i have no way to get my money and be the last time you buy something without guarantee trust amazon and was a big mistake please do not make the same mistake yoeviten uying without warranty even if the seller is amazonthe phone has load fails and no longer on the battery is fixed and can not be replacedi lost my moneyamazons very bad sell an item on   warranty and not give,negative
does not really connect with apple,negative
i was not too thrilled with my purchase i thought it would have came in the case because it said new certified refurbished it only came with the iphone and a dirty wall charger i should have paid an extra   bought a brand new one,negative
its not blue ,negative
i got this phone through amazonprime fulfilled by amazon and was really disappointed packaging is nothing like the picture came in a different box no manual a general nonmotorola charger and no minisd card no instructions the phone would not charge or boot up ever even when connected over  hours to a wall charger i downloaded the user manual to troubleshoot but nothing ever workedi believe this was a refurb not new and a poor refurb at that i returned it right away for a refund,negative
the phone itself is ok it heats up too quickly the worst part is sonys xperia protection which rendered my phone useless and bricked it if you purchase this phone do not use this feature,negative
fake chinese knockoff not a real iphone,negative
the phone itself is fine the problem is buying it from amazon it comes preinstalled with a bunch of amazon apps that cannot be removed the lock screen is an amazon ad it is obnoxious i bought this phone for my young teenager and her lock screen is ads for shows she has  she is not even old enough to watch im returning it best buy has it for the same price with no ads,negative
i did not recive the products the packaged was opened and it has sliding drowers not the phone and coveri inmediatly request the money back,negative
i bought  of these and still trying to figure out how to use them and all it came when was a little piece of paper for instructions i even had my phone company look at it and they couldnt get it to work,negative
i get the box open without earphone and battery,negative
i must say it arrived quickly via amazon prime and appeared new  i liked the gold color  no complaints there i did the research and i read the reviews before purchasing i charged it to  before using it then disaster started to unfold it is not holding the chargethe battery is quickly drained after about    hrsi always have to have the charger close by although it charges to  pretty quickly next the most annoying thing is the phone itselfthe person at the other end cannot hear me unless i take it out the case and put it on speaker phone what has  what is up with that so someone has us in their pocket while i got a piece of junkin the end i have to buy a new proper functioning phone and i am never buying a phone online again i am going to the store just my experience,negative
it has  it is crap i had it for like hr and then it broke waste of money,negative
this product did not work and i will be returning it i have tried to get the information online what to do but the site keep starting over and saying it is not the correct site the phone looked nice i just wished it worked they told us that the phone was blocked and whoever had it before still had control of the phone and it would not activate very disappointed,negative
im happy i got it so fast but my phone is not like the picture that i saw why in picture there is samsung symbole on the back cover side but my phone that i got there is att symbole i dont like that so much hopefully amazone can correct it product and picture should be same,negative
it was great for the first three months when i first bought it then the phone decided to not charge at all i tried to get the back of but no matter what i did the back was a most like it was glued to the phone so i took it to a radio shack and there was a shortage in the phone it has  it is self and with the back not able to come off the only option was to buy a completely brand new phone ,negative
did not receive it got samsung note  instead,negative
was told that if i drop or drop it in some fluild it will be ok but it crack,negative
ive been sitting here for  minutes trying to get this case to snap all the way around and it just will not as soon as one side locks the other comes unlocked ive owned other otterbox products even for this phone and never had this issue everyone in my house has the same phone just different colors so i tried another galaxy s in the case and it fit my phone is the white version hence the reason i really need a case but for whatever reason it does not fit into this case it has  it is off by the tiniest of dimensions not sure what im supposed to do now since no one else in my family will want to sport pink phone case,negative
